Local,Nome,Logradouro,Latitude,Longitude
Café Deli,Cranberry Gourmet,115 W 45th St,40757078,-73983411
Full Serve,Haggis Inc,120 W 44th St,40756461,-73983952
Full Serve,Saju French Bistro @ Hotel Mela,120 W 44th St,40756461,-73983952
Catering,N Valenti Restaurant Associates,120 W 45th St,40757117,-73983544
Catering,Patina Restaurant Group,120 W 45th St,40757117,-73983544
Bar Lounge,Connolly's Pub And Restaurant,121 W 45th St,4075713,-73983533
Full Serve,Cafe Un Deux Trois,123 W 44th St,40756491,-73983977
Bar Lounge,The Perfect Pint,123 W 45th St,40757147,-73983573
Full Serve,Duvel Bar Rest,125 W 43rd St,4075586,-73984418
Full Serve,Trattoria Dopo Teatro,125 W 44th St,40756505,-73984017
Full Serve,H&B Heartland Burgers,127 W 43rd St,40755873,-73984454
Full Serve,Heartland Brewery,127 W 43rd St,40755873,-73984454
Full Serve,Cafe O,130 W 42nd St,40755278,-73985172
Full Serve,NIOS Restaurant @ Muse Hotel,130 W 46th St,40757814,-7398328
Bar Lounge,O'Brien's Bar and Grill,134 W 46th St,40757847,-7398336
Full Serve,Pronto Pizza-Lemlen Pizza,135 W 41st St,40754691,-73985797
Full Serve,Bobby Vans,135 W 50th St,40760374,-73981533
Full Serve,Bocca To Go Cucian Italiana,135 W 50th St,40760374,-73981533
Café Deli,Pret a Manger,135 W 50th St,40760374,-73981533
Quick Serve,Qdoba Mexican Grill,135 W 50th St,40760374,-73981533
Full Serve,Moda @ Flatotel,135 W 52nd St,40761736,-73980883
Full Serve,Margon Restaurant Co.,136 W 46th St,40757863,-739834
Quick Serve,Subway,136 W 44th St,40756587,-73984255
Full Serve,Minar Indian Restaurant,138 W 46th St,40757882,-73983439
Bar Lounge,Jimmy's Corner,140 W 44th St,4075662,-73984331
Café Deli,Metro Deli Ranch 1,141 W 41st St,40754756,-73985956
Coffee,Starbucks,1500 Broadway,40756856,-73985973
Coffee,Pizza Hut,761 Seventh Ave,40761184,-73983186
Full Serve,Tad's Steakhouse,761 Seventh Ave,40761184,-73983186
Quick Serve,Haagen-Dazs,761-779 Seventh Ave,40761184,-73983186
Quick Serve,Pizza Hut,761-779 Seventh Ave,40761184,-73983186
Full Serve,T.G.I. Friday's,761 Seventh Ave,40761184,-73983186
Quick Serve,Sbarro,701 Seventh Ave,40759293,-73984543
Full Serve,Tad's Steak House,701 Seventh Ave,40759293,-73984543
Quick Serve,Papa John'sSubway,765 Eighth Ave,4076029,-73987572
Café Deli,Europa Cafe,787 Seventh Ave,40761955,-73982622
Full Serve,LyBane Wine Bar,709 Eighth Ave,40758885,-73988604
Full Serve,Charley O's,713 Eighth Ave,40759011,-73988514
Full Serve,Chicken Bar,717 Eighth Ave,40759264,-7398833
Coffee,Starbucks,770 Eighth Ave,40760496,-73987395
Full Serve,Pigalle,790 Eighth Ave,40761127,-7398694
Quick Serve,A Slice of New York Pizza,727 Eighth Ave,40759576,-73988099
Full Serve,Tonic Sports Bar & Restaurant,727 Seventh Ave,40760059,-73984005
Full Serve,Daniela's Trattoria,728 Eighth Ave,40759327,-73988258
Full Serve,Spice Fusion,777 Eighth Ave,4076068,-73987287
Full Serve,Latitude,783 Eighth Ave,40760814,-73987189
Full Serve,Brazil Grill,787 Eighth Ave,40760902,-73987124
Full Serve,Hawaiian Tropic Zone,729 Seventh Ave,40760103,-73983973
Full Serve,Houlihan's Restaurant & Bar,729 Seventh Ave,40760103,-73983973
Full Serve,Ruby Tuesday,7 Times Sq,40755915,-73986681
Bar Lounge,Playwright Celtic Pub,732 Eighth Ave,40759401,-73988204
Full Serve,Smith's Bar & Restaurant,701 Eighth Ave,40758632,-73988785
Café Deli,Pax Foods,740 Seventh Ave,40760369,-73983807
Consumables,Godiva Chocolatier,745 Seventh Ave,40760605,-73983612
Café Deli,Hale & Hearty,745 Seventh Ave,40760605,-73983612
Café Deli,Majestic Delication Café,750 Seventh Ave,40760753,-73983525
Full Serve,Ruby Foo's,750 Seventh Ave,40760753,-73983525
Coffee,Starbucks,750 Seventh Ave,40760753,-73983525
Full Serve,Kodama Sushi,301 W 45th St,40759351,-73988814
Café Deli,Midtown Gourmet Deli,840 Eighth Ave,40762694,-73985799
Full Serve,Nan King Chinese Cuisine,1632 Broadway,40761516,-73983976
Quick Serve,Patzeria Pizza,231 W 46th St,40759101,-73986276
Quick Serve,Piano Due,151 W 51st St,40761324,-73981846
Full Serve,Sombrero,303 W 48th St,4076124,-73987478
Full Serve,Thalia Kitchen,828 Eighth Ave,40762192,-73986164
Full Serve,Tom and Toon,245 W 51st St,40762439,-73984492
Full Serve,Grand Sichuan,368 W 46th St,40760548,-73989734
Café Deli,Chopp't,1460 Broadway,40754998,-73986284
Café Deli,Off Broadway Deli Pizza,726 Eighth Ave,40759291,-73988287
Quick Serve,Z Deli-Pizzeria,803 Eighth Ave,40761371,-73986785
Quick Serve,Zheng's Lucky Sunday Garden,856 Eighth Ave,40763207,-73985423
Full Serve,Charley O's,1611 Broadway,40760696,-73984568
Quick Serve,Amadeus Pizza,856 Eighth Ave,40763207,-73985423
Café Deli,Andy's Deli & Natural Foods,270 W 47th St,4076004,-7398663
Full Serve,Angus McIndoe Restaurant,258 West 44th Street,40758108,-73987861
Full Serve,Brazil Brazil,328 W 46th St,40760205,-73988922
Full Serve,Sofia's,221 W 46th St,40759025,-73986092
Full Serve,Cafe Nicole @ Novotel,226 W 52nd St,40762897,-73983683
Full Serve,Cafe Edison,228 W 47th St,40759727,-73985886
Full Serve,Ciro Trattoria,813 Eighth Ave,40761569,-7398664
Full Serve,Olympic Restaurant,807 Eighth Ave,40761451,-73986727
Bar Lounge,Emmett O'Lunney's,210 W 50th St,4076156,-73984395
Café Deli,Maxie's Delicatessen,723 Seventh Ave,40759974,-73984067
Café Deli,Cyber Cafe,250 W 49th St,40761193,-73985478
Full Serve,Palm Restaurant,250 W 50th St,4076183,-73985034
Full Serve,Jade Terrace,268 W 47th St,40760024,-73986594
Quick Serve,vacant (Red Mango),723 Eighth Ave,4075945,-73988193
Full Serve,Russian Vodka Room,265 W 52nd St,40763183,-73984315
Bar Lounge,Rum House,228 W 47th St,40759727,-73985886
Quick Serve,Hudson's Sports Bar & Grill,811 Seventh Ave,40762674,-73982095
Full Serve,Russo's Steak and Pasta,790 Seventh Ave,40762005,-73982612
Café Deli,Starlite Deli,212 W 44th St,40757531,-73986493
Quick Serve,Villa Pizza,662 Eighth Ave,40757381,-73989669
Bar Lounge,Harmony View,210 W 50th St,4076156,-73984395
Full Serve,Pearls,732 Seventh Ave,40760177,-73983944
Full Serve,Frankie & Johnnie's Steakhouse,269 W 45th St,40758863,-73987641
Café Deli,Times Square Hot Bagels,200 W 44th St,40757405,-7398619
Full Serve,Brasserie 1605,1605 Broadway,40760537,-73984644
Full Serve,La Masseria,235 W 48th St,40760476,-73985666
Quick Serve,Teriyaki Boy (month to month),732 Seventh Ave,40760177,-73983944
Full Serve,Hourglass Tavern,373 W 46th St,40760598,-73989803
Quick Serve,Mama Sbarro's,1606 Broadway,40760556,-73984615
Full Serve,Yoshinoya Beef Bowl Restaurant,255 W 42nd St,40756892,-73988958
Full Serve,Brooklyn Diner,155 W 43rd St,40756082,-73984948
Full Serve,Chevys Fresh Mex,259 W 42nd St,40756917,-73989016
Quick Serve,Tasti D-Lite,1588 Broadway,40759873,-73984915
Quick Serve,Carve: Unique Sandwiches,768 Eighth Ave,40760309,-73987532
Coffee,Starbucks (@ Marriott),1535 Broadway,40758267,-73985468
Quick Serve,Ray's Famous Pizza,736 Seventh Ave,40760273,-73983875
Consumables,vacant (8th Avenue Pavilion Flea Market),675 Eighth Ave,40757705,-7398946
Full Serve,Bond 45,154 West 45th St,40757408,-7398423
Café Deli,Pax World,225 W 42nd St,40756508,-73988042
Full Serve,Avenue Restaurant @ Sheraton Hilton Hotel,811 Seventh Ave,40762674,-73982095
Full Serve,Azalea,224 W 51st St,4076228,-73984164
Full Serve,Bella Vita,211 W 43rd St,40756983,-73987081
Catering,Bistro Caterers,155 W 51st St,40761346,-73981901
Café Deli,CAFÉ @ Times Square,159 W 46th St,40758066,-73983829
Quick Serve,Chipotle Mexican grill,854 Eighth Ave,40763166,-73985452
Full Serve,Famous Dave's B-B-Q,169 W 47th St,40758777,-73983583
Quick Serve,Famous Famiglia Pizza,686 Eighth Ave,40758163,-73989099
Quick Serve,Fu Ying,811 Eighth Ave,40761531,-73986669
Full Serve,Green Symphony,255 W 43rd St,40757359,-73987973
Full Serve,Haru,205 W 43rd St,4075693,-73986959
Full Serve,Insieme @ The Michaelangelo,777 Seventh Ave,40761571,-739829
Coffee,Starbucks,684 Eighth Ave,40758108,-73989139
Full Serve,Barbetta Restaurant,321 West 46th Street,4076015,-73988749
